TimeSteps,Delay,FieldStrength,DopplerShift,AoD_Azimuth,AoA_Azimuth,AoD_Elevation,AoA_Elevation
1,20.034,2.88345e+06,0,293.575,113.575,92.3856,87.6144,
1,31.1785,414787,5.19166,256.728,179.945,91.5326,88.4674,
1,33.8691,189441,5.56593,258.275,191.417,91.4109,88.5891,
1,19.903,2.90242e+06,0,292.694,112.694,92.4013,87.5987,
1,30.845,419271,5.19156,256.728,179.943,91.5492,88.4508,
1,33.5424,191286,5.5758,258.275,191.725,91.4246,88.5754,
1,19.7769,2.92094e+06,0,291.801,111.801,92.4166,87.5834,
1,30.5116,423853,5.19145,256.728,179.942,91.5661,88.4339,
1,33.2161,193165,5.58612,258.275,192.051,91.4386,88.5614,
1,19.6555,2.93897e+06,0,290.898,110.898,92.4316,87.5684,
1,30.1781,428536,5.19134,256.728,179.94,91.5835,88.4165,
1,32.8902,195079,5.59692,258.275,192.395,91.4529,88.5471,
1,19.5391,2.95647e+06,0,289.983,109.983,92.4461,87.5539,
1,29.8447,433323,5.19122,256.728,179.938,91.6012,88.3989,
1,32.5648,197029,5.60824,258.275,192.759,91.4674,88.5326,
1,19.4278,2.97342e+06,0,289.058,109.058,92.4601,87.5399,
1,29.5113,438219,5.19109,256.728,179.936,91.6192,88.3808,
1,32.2398,199015,5.62011,258.275,193.144,91.4822,88.5178,
1,19.3215,2.98977e+06,0,288.122,108.122,92.4736,87.5264,
1,29.1778,443227,5.19096,256.728,179.934,91.6377,88.3622,
1,31.9153,201038,5.63256,258.275,193.553,91.4972,88.5028,
1,19.2205,3.00549e+06,0,287.176,107.176,92.4866,87.5134,
1,28.8444,448351,5.19082,256.728,179.932,91.6567,88.3433,
1,31.5915,203099,5.64564,258.275,193.988,91.5126,88.4874,
1,19.1247,3.02053e+06,0,286.22,106.22,92.4991,87.5009,
1,28.511,453594,5.19067,256.728,179.93,91.6761,88.3239,
1,31.2682,205199,5.65939,258.275,194.451,91.5282,88.4718,
1,19.0344,3.03488e+06,0,285.255,105.255,92.511,87.489,
1,28.1776,458961,5.19052,256.728,179.927,91.6959,88.3041,
1,30.9457,207337,5.67386,258.275,194.945,91.5442,88.4558,
1,18.9494,3.04848e+06,0,284.281,104.281,92.5222,87.4778,
1,27.8442,464457,5.19035,256.728,179.924,91.7162,88.2838,
1,30.6239,209516,5.68908,258.275,195.473,91.5604,88.4396,
1,18.87,3.06132e+06,0,283.299,103.299,92.5329,87.4671,
1,27.5107,470086,5.19017,256.728,179.922,91.737,88.263,
1,30.303,211734,5.70512,258.275,196.039,91.5769,88.4231,
1,18.7961,3.07335e+06,0,282.308,102.308,92.5428,87.4572,
1,27.1773,475853,5.18999,256.728,179.918,91.7583,88.2417,
1,29.9831,213994,5.72203,258.275,196.647,91.5938,88.4062,
1,18.7279,3.08454e+06,0,281.31,101.31,92.5521,87.4479,
1,26.8439,481763,5.18979,256.728,179.915,91.7802,88.2198,
1,29.6642,216295,5.73987,258.275,197.301,91.6109,88.3891,
1,18.6654,3.09486e+06,0,280.305,100.305,92.5606,87.4394,
1,26.5105,487822,5.18957,256.728,179.911,91.8026,88.1974,
1,29.3464,218636,5.75868,258.275,198.006,91.6283,88.3717,
1,18.6087,3.1043e+06,0,279.293,99.2933,92.5685,87.4315,
1,26.1771,494035,5.18934,256.728,179.907,91.8255,88.1745,
1,29.03,221019,5.77853,258.275,198.77,91.6461,88.3539,
1,18.5578,3.11281e+06,0,278.276,98.2759,92.5755,87.4245,
1,25.8437,500408,5.18909,256.728,179.903,91.8491,88.1509,
1,28.7151,223443,5.79948,258.275,199.598,91.6642,88.3358,
1,18.5128,3.12038e+06,0,277.253,97.2532,92.5818,87.4182,
1,25.5104,506947,5.18881,256.728,179.898,91.8733,88.1267,
1,28.4019,225908,5.82156,258.275,200.5,91.6825,88.3175,
1,18.4737,3.12698e+06,0,276.226,96.2258,92.5872,87.4128,
1,25.177,513661,5.18852,256.728,179.893,91.8981,88.1019,
1,28.0906,228411,5.84481,258.275,201.485,91.7012,88.2988,
1,18.4405,3.13261e+06,0,275.194,95.1944,92.5919,87.4081,
1,24.8436,520553,5.1882,256.728,179.887,91.9236,88.0764,
1,27.7815,230952,5.86926,258.275,202.564,91.7201,88.2799,
